FID	OBJECTID	SYSTEMSTOP	STREET	CROSS_ST	DIR	POS	ROUTESSTPG	OWLROUTES	CITY	STATUS	PUBLIC_NAM	POINT_X	POINT_Y
5038	5039	1764	DEVON	HERMITAGE	WB	NS	155	 	CHICAGO	1	Devon & Hermitage	-87.67352	41.99806
5039	5040	9207	51ST STREET	PAULINA	WB	NS	51	 	CHICAGO	1	51st Street & Paulina	-87.66701001	41.80136412
5040	5041	10095	69TH STREET	UNION (east leg)	WB	NS	67	 	CHICAGO	1	69th Street & Union	-87.64156821	41.76893437
5041	5042	10078	67TH STREET	ELLIS	WB	NS	"N5,67"	N5	CHICAGO	1	67th Street & Ellis	-87.60082502	41.77325175
5042	5043	3220	63RD STREET	RHODES	WB	NS	63	N63	CHICAGO	1	63rd Street & Rhodes	-87.61177817	41.78037017
5043	5044	9504	87TH STREET	LAFLIN	WB	NS	87	N87	CHICAGO	1	87th Street & Laflin	-87.66048353	41.73592938
5044	5045	12688	DAVIS	RIDGE	WB	NS	205	 	EVANSTON	2	Davis & Ridge	-87.68841364	42.04715993
5045	5046	15391	67TH STREET	OGLESBY	WB	NT	"6,26,67"	 	CHICAGO	1	67th Street & Oglesby	-87.56820411	41.77359621
5046	5047	9332	BELMONT	LINDER	WB	NS	77	N77	CHICAGO	1	Belmont & Linder	-87.76392341	41.93869394
5047	5048	10858	75TH STREET	CRANDON	WB	NS	"N5,75"	N5	CHICAGO	1	75th Street & Crandon	-87.56871572	41.75901618
5048	5049	7761	PERSHING	CANAL	WB	NT	39	 	CHICAGO	1	Pershing & Canal	-87.63741435	41.82363585
5049	5050	1896	WALTON	DEARBORN	WB	FS	"22,70"	N22	CHICAGO	1	Walton & Dearborn	-87.62999394	41.89987246
5050	5051	7772	PERSHING	PAULINA	WB	NS	39	 	CHICAGO	1	Pershing & Paulina	-87.6675321	41.82322919
5051	5052	2453	LAFAYETTE	8600 SOUTH	SB	MB	29	 	CHICAGO	1	8600 S Lafayette	-87.62560064	41.73739173
5052	5053	1066	LAKE SHORE	STRATFORD	SB	FS	"135,146,151"	 	CHICAGO	1	Lake Shore & Stratford	-87.64201491	41.94597417
5053	5054	11784	HARLEM	BARRY	SB	NS	90	 	CHICAGO	1	Harlem & Barry	-87.806755	41.936447
5054	5055	1489	LINCOLN	CARMEN	NWB	NS	11	 	CHICAGO	1	Lincoln & Carmen	-87.69189679	41.97394826
5055	5056	6059	ASHLAND	2450 SOUTH	SB	MB	9	N9	CHICAGO	1	2450 S Ashland	-87.66607416	41.84751146
5056	5057	6134	BEVERLY	9800 SOUTH	SB	MB	9	 	CHICAGO	1	9800 S Beverly	-87.66075265	41.71596515
5057	5058	11650	CALDWELL	LORON	NWB	NS	85A	 	CHICAGO	1	Caldwell & Loron	-87.774804	42.001078
5058	5059	9578	AUSTIN	SCHUBERT	SB	NS	91	 	CHICAGO	1	Austin & Schubert	-87.775971	41.929374
